time_ms,Subject,Channel,value
468.0,7244_4_ants_ERN_err.dat,FCz,-4.74643
470.0,7244_4_ants_ERN_err.dat,FCz,-4.82924
472.0,7244_4_ants_ERN_err.dat,FCz,-4.89787
474.0,7244_4_ants_ERN_err.dat,FCz,-4.95276
476.0,7244_4_ants_ERN_err.dat,FCz,-4.99268
478.0,7244_4_ants_ERN_err.dat,FCz,-5.01518
480.0,7244_4_ants_ERN_err.dat,FCz,-5.01722
482.0,7244_4_ants_ERN_err.dat,FCz,-4.99604
484.0,7244_4_ants_ERN_err.dat,FCz,-4.95008
486.0,7244_4_ants_ERN_err.dat,FCz,-4.87954
488.0,7244_4_ants_ERN_err.dat,FCz,-4.78653
490.0,7244_4_ants_ERN_err.dat,FCz,-4.67512
492.0,7244_4_ants_ERN_err.dat,FCz,-4.55094
494.0,7244_4_ants_ERN_err.dat,FCz,-4.4209
496.0,7244_4_ants_ERN_err.dat,FCz,-4.29282
498.0,7244_4_ants_ERN_err.dat,FCz,-4.17519
500.0,7244_4_ants_ERN_err.dat,FCz,-4.07669
502.0,7244_4_ants_ERN_err.dat,FCz,-4.00586
504.0,7244_4_ants_ERN_err.dat,FCz,-3.96993
506.0,7244_4_ants_ERN_err.dat,FCz,-3.97395
508.0,7244_4_ants_ERN_err.dat,FCz,-4.01953
510.0,7244_4_ants_ERN_err.dat,FCz,-4.10379
512.0,7244_4_ants_ERN_err.dat,FCz,-4.21917
514.0,7244_4_ants_ERN_err.dat,FCz,-4.35353
516.0,7244_4_ants_ERN_err.dat,FCz,-4.49143
518.0,7244_4_ants_ERN_err.dat,FCz,-4.61608
520.0,7244_4_ants_ERN_err.dat,FCz,-4.71152
522.0,7244_4_ants_ERN_err.dat,FCz,-4.76491
524.0,7244_4_ants_ERN_err.dat,FCz,-4.76822
526.0,7244_4_ants_ERN_err.dat,FCz,-4.71944
528.0,7244_4_ants_ERN_err.dat,FCz,-4.62245
530.0,7244_4_ants_ERN_err.dat,FCz,-4.48679
532.0,7244_4_ants_ERN_err.dat,FCz,-4.32596
534.0,7244_4_ants_ERN_err.dat,FCz,-4.15577
536.0,7244_4_ants_ERN_err.dat,FCz,-3.99211
538.0,7244_4_ants_ERN_err.dat,FCz,-3.84885
540.0,7244_4_ants_ERN_err.dat,FCz,-3.73611
542.0,7244_4_ants_ERN_err.dat,FCz,-3.65913
544.0,7244_4_ants_ERN_err.dat,FCz,-3.61767
546.0,7244_4_ants_ERN_err.dat,FCz,-3.60631
548.0,7244_4_ants_ERN_err.dat,FCz,-3.61546
550.0,7244_4_ants_ERN_err.dat,FCz,-3.63298
552.0,7244_4_ants_ERN_err.dat,FCz,-3.64598
554.0,7244_4_ants_ERN_err.dat,FCz,-3.64287
556.0,7244_4_ants_ERN_err.dat,FCz,-3.61498
558.0,7244_4_ants_ERN_err.dat,FCz,-3.55772
560.0,7244_4_ants_ERN_err.dat,FCz,-3.4713
562.0,7244_4_ants_ERN_err.dat,FCz,-3.36038
564.0,7244_4_ants_ERN_err.dat,FCz,-3.23335
566.0,7244_4_ants_ERN_err.dat,FCz,-3.10114
568.0,7244_4_ants_ERN_err.dat,FCz,-2.97577
570.0,7244_4_ants_ERN_err.dat,FCz,-2.86906
572.0,7244_4_ants_ERN_err.dat,FCz,-2.79068
574.0,7244_4_ants_ERN_err.dat,FCz,-2.74675
576.0,7244_4_ants_ERN_err.dat,FCz,-2.73807
578.0,7244_4_ants_ERN_err.dat,FCz,-2.75896
580.0,7244_4_ants_ERN_err.dat,FCz,-2.79704
582.0,7244_4_ants_ERN_err.dat,FCz,-2.83421
584.0,7244_4_ants_ERN_err.dat,FCz,-2.84885
586.0,7244_4_ants_ERN_err.dat,FCz,-2.81942
588.0,7244_4_ants_ERN_err.dat,FCz,-2.72797
590.0,7244_4_ants_ERN_err.dat,FCz,-2.56355
592.0,7244_4_ants_ERN_err.dat,FCz,-2.32443
594.0,7244_4_ants_ERN_err.dat,FCz,-2.01854
596.0,7244_4_ants_ERN_err.dat,FCz,-1.66269
598.0,7244_4_ants_ERN_err.dat,FCz,-1.28006
600.0,7244_4_ants_ERN_err.dat,FCz,-0.897302
602.0,7244_4_ants_ERN_err.dat,FCz,-0.540994
604.0,7244_4_ants_ERN_err.dat,FCz,-0.234882
606.0,7244_4_ants_ERN_err.dat,FCz,0.00235012
608.0,7244_4_ants_ERN_err.dat,FCz,0.158345
610.0,7244_4_ants_ERN_err.dat,FCz,0.22741
612.0,7244_4_ants_ERN_err.dat,FCz,0.210255
614.0,7244_4_ants_ERN_err.dat,FCz,0.113063
616.0,7244_4_ants_ERN_err.dat,FCz,-0.0535033
618.0,7244_4_ants_ERN_err.dat,FCz,-0.275582
620.0,7244_4_ants_ERN_err.dat,FCz,-0.537583
622.0,7244_4_ants_ERN_err.dat,FCz,-0.823656
624.0,7244_4_ants_ERN_err.dat,FCz,-1.11924
626.0,7244_4_ants_ERN_err.dat,FCz,-1.41225
628.0,7244_4_ants_ERN_err.dat,FCz,-1.69381
630.0,7244_4_ants_ERN_err.dat,FCz,-1.95822
